rank,country_code,player,points,tournaments,confederation,country
1,DEN,Viktor Axelsen,108056,14,Europe,Denmark
2,MAS,Lee Zii Jia,79468,15,Asia,Malaysia
3,SGP,Loh Kean Yew,77394,18,Asia,Singapore
4,INA,Jonatan Christie,75812,17,Asia,Indonesia
5,INA,Anthony Sinisuka Ginting,75749,16,Asia,Indonesia
6,TPE,Chou Tien Chen,75466,16,Asia,Chinese Taipei
7,IND,Lakshya Sen,65794,15,Asia,India
8,IND,Prannoy H. S.,64880,18,Asia,India
9,JPN,Kodai Naraoka,64640,15,Asia,Japan
10,THA,Kunlavut Vitidsarn,59679,13,Asia,Thailand
11,CHN,Lu Guang Zu,59110,18,Asia,China
12,IND,Kidambi Srikanth,57801,16,Asia,India
13,CHN,Zhao Jun Peng,55901,16,Asia,China
14,HKG,Lee Cheuk Yiu,51531,16,Asia,Hong Kong China
15,HKG,Ng Ka Long Angus,48627,14,Asia,Hong Kong China
16,DEN,Rasmus Gemke,48621,10,Europe,Denmark
17,JPN,Kenta Nishimoto,47769,14,Asia,Japan
18,JPN,Kento Momota,47454,10,Asia,Japan
19,DEN,Anders Antonsen,47033,8,Europe,Denmark
20,TPE,Wang Tzu Wei,46226,13,Asia,Chinese Taipei
21,CAN,Brian Yang,45610,17,Pan America,Canada
22,CHN,Li Shi Feng,44353,14,Asia,China
23,JPN,Kanta Tsuneyama,44128,11,Asia,Japan
24,INA,Chico Aura Dwi Wardoyo,44118,14,Asia,Indonesia
25,IRL,Nhat Nguyen,44019,19,Europe,Ireland
26,FRA,Toma Junior Popov,42723,14,Europe,France
27,INA,Shesar Hiren Rhustavito,42393,14,Asia,Indonesia
28,MAS,Ng Tze Yong,42314,15,Asia,Malaysia
29,CHN,Weng Hong Yang,41893,11,Asia,China
30,THA,Kantaphon Wangcharoen,39522,17,Asia,Thailand
31,THA,Sitthikom Thammasin,38926,17,Asia,Thailand
32,MAS,Liew Daren,37639,15,Asia,Malaysia
33,NED,Mark Caljouw,37070,16,Europe,Netherlands
34,DEN,Hans-Kristian Solberg Vittinghus,36492,14,Europe,Denmark
35,IND,Mithun Manjunath,35941,12,Asia,India
36,CHN,Shi Yu Qi,35230,6,Asia,China
37,FRA,Arnaud Merkle,34073,15,Europe,France
38,TPE,Lin Chun-Yi,34030,12,Asia,Chinese Taipei
39,ISR,Misha Zilberman,33704,14,Europe,Israel
40,KOR,Heo Kwang Hee,33675,14,Asia,Korea
41,GUA,Kevin Cordon,32787,10,Pan America,Guatemala
42,FRA,Christo Popov,31280,13,Europe,France
43,IND,Sameer Verma,30560,11,Asia,India
44,FRA,Brice Leverdez,30370,14,Europe,France
45,IND,Kiran George,30067,15,Asia,India
46,JPN,Koki Watanabe,30020,11,Asia,Japan
47,MAS,Soong Joo Ven,29280,14,Asia,Malaysia
48,MAS,Cheam June Wei,29200,19,Asia,Malaysia
49,BRA,Ygor Coelho,28169,14,Pan America,Brazil
50,IND,Priyanshu Rajawat,28086,12,Asia,India
51,ESP,Luís Enrique Peñalver,26843,13,Europe,Spain
52,DEN,Victor Svendsen,26840,14,Europe,Denmark
53,FRA,Lucas Claerbout,26410,14,Europe,France
54,TPE,Chia Hao Lee,25710,17,Asia,Chinese Taipei
55,IND,Sai Praneeth B.,25660,13,Asia,India
56,FIN,Kalle Koljonen,25101,13,Europe,Finland
57,GER,Kai Schaefer,24662,16,Europe,Germany
58,IND,Meiraba Luwang Maisnam,24570,16,Asia,India
59,CZE,Jan Louda,24150,14,Europe,Czech Republic
60,DEN,Mads Christophersen,23950,12,Europe,Denmark
61,CAN,Jason Anthony Ho-Shue,23567,10,Pan America,Canada
62,IND,Parupalli Kashyap,23430,8,Asia,India
63,INA,Tommy Sugiarto,23000,10,Asia,Indonesia
64,ESA,Uriel Francisco Canjura Artiga,22900,11,Pan America,El Salvador
65,FRA,Alex Lanier,22715,12,Europe,France
66,SWE,Felix Burestedt,22545,14,Europe,Sweden
67,DEN,Magnus Johannesen,22520,16,Europe,Denmark
68,AZE,Ade Resky Dwicahyo,21960,18,Europe,Azerbaijan
69,UKR,Danylo Bosniuk,21828,18,Europe,Ukraine
70,IND,Kartikey Gulshan Kumar,21500,14,Asia,India
71,SGP,Jia Heng Jason Teh,21409,18,Asia,Singapore
72,JPN,Riku Hatano,21304,13,Asia,Japan
73,KOR,Jeon Hyeok Jin,20999,9,Asia,Korea
74,MAS,Leong Jun Hao,20967,12,Asia,Malaysia
75,TPE,Chi Yu Jen,20910,16,Asia,Chinese Taipei
76,BRA,Jonathan Matias,20655,12,Pan America,Brazil
77,FRA,Thomas Rouxel,20310,8,Europe,France
78,TPE,Lu Chia Hung,20209,16,Asia,Chinese Taipei
79,DEN,Kim Bruun,20160,9,Europe,Denmark
80,BEL,Julien Carraggi,20088,18,Europe,Belgium
81,INA,Ikhsan Leonardo Imanuel Rumbay,20041,10,Asia,Indonesia
82,JPN,Minoru Koga,19640,9,Asia,Japan
83,INA,Christian Adinata,19511,9,Asia,Indonesia
84,TPE,Su Li Yang,19320,16,Asia,Chinese Taipei
85,AUT,Luka Wraber,18903,18,Europe,Austria
86,GER,Max Weisskirchen,18480,10,Europe,Germany
87,KOR,Son Wan Ho,18340,5,Asia,Korea
88,POR,Bernardo Atilano,18238,13,Europe,Portugal
89,ESP,Pablo Abian,17930,14,Europe,Spain
90,NED,Joran Kweekel,17903,12,Europe,Netherlands
91,JPN,Yushi Tanaka,17730,9,Asia,Japan
92,MAS,Yeoh Seng Zoe,17700,12,Asia,Malaysia
93,ENG,Toby Penty,17622,8,Europe,England
94,ITA,Giovanni Toti,17522,17,Europe,Italy
95,MAS,Sholeh Aidil,17387,13,Asia,Malaysia
96,IND,Sathish Kumar Karunakaran,17280,13,Asia,India
97,IND,Chirag Sen,16890,15,Asia,India
98,IND,Subhankar Dey,16480,13,Asia,India
99,IND,S.Sankar Muthusamy Subramanian,16320,19,Asia,India
100,IND,Harshit Aggarwal,16180,14,Asia,India
101,TPE,Chen Chi Ting,16150,13,Asia,Chinese Taipei
102,MEX,Job Castillo,16084,10,Pan America,Mexico
103,MEX,Lino Munoz,16078,10,Pan America,Mexico
104,CHN,Sun Fei Xiang,16000,9,Asia,China
105,ITA,Fabio Caponio,15815,16,Europe,Italy
106,SVK,Milan Dratva,15750,20,Europe,Slovakia
107,THA,Khosit Phetpradab,15269,5,Asia,Thailand
108,HKG,Chan Yin Chak,15183,11,Asia,Hong Kong China
109,IND,Rahul Yadav Chittaboina,15060,11,Asia,India
110,EGY,Adham Hatem Elgamal,15029,12,Africa,Egypt
111,GER,Fabian Roth,15000,15,Europe,Germany
112,SUI,Tobias Kuenzi,14877,14,Europe,Switzerland
113,IND,Sourabh Verma,14630,6,Asia,India
114,USA,Howard Shu,14338,11,Pan America,U.S.A.
115,BUL,Daniel Nikolov,14093,13,Europe,Bulgaria
116,GER,Samuel Hsiao,14085,18,Europe,Germany
117,JPN,Takuma Obayashi,14000,5,Asia,Japan
118,MAS,Kok Jing Hong,13978,13,Asia,Malaysia
119,BRA,Donnians Oliveira,13672,7,Pan America,Brazil
120,CHN,Lei Lan Xi,13650,6,Asia,China
121,ALG,Youcef Sabri Medel,13491,11,Africa,Algeria
122,IND,Ansal Yadav,13410,11,Asia,India
123,MAS,Ong Ken Yon,13160,11,Asia,Malaysia
124,JOR,Bahaedeen Ahmad Alshannik,13080,8,Asia,Jordan
125,MAS,Lee Shun Yang,12990,11,Asia,Malaysia
126,THA,Adulrach Namkul,12892,7,Asia,Thailand
127,NGR,Anuoluwapo Juwon Opeyori,12850,8,Africa,Nigeria
